"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",78,353,386,1793,116,1485,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",67,151,267,749,116,1485,"Logger,LoggerFactory",""
"javax.persistence",15,27,82,311,116,1485,"MappedSuperclass,IdClass,Id,Entity,Table,Index,Query,EntityManager,TypedQuery",""
"com.fasterxml.jackson.annotation",13,23,57,87,116,1485,"JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonTypeInfo$As,JsonIgnore",""
"jakarta.persistence",10,25,73,299,116,1485,"MappedSuperclass,Id,IdClass,EntityManager,Query,TypedQuery,Entity,EntityExistsException,Index",""
"io.axoniq.axonserver.grpc",7,30,55,273,116,1485,"ErrorMessage$Builder,ErrorMessage,InstructionAck$Builder,InstructionAck,SerializedObject,MetaDataValue$DataCase,SerializedObject$Builder,ProcessingInstruction,MetaDataValue",""
"io.axoniq.axonserver.connector",6,21,30,127,116,1485,"AxonServerConnectionFactory,AxonServerConnection,AxonServerConnectionFactory$Builder,FlowControl,ResultStream,ReplyChannel,Registration,ResultStreamPublisher",""
"org.hamcrest",5,27,59,370,116,1485,"Description,Matcher,Matchers,StringDescription,CoreMatchers,TypeSafeMatcher,BaseMatcher",""
"io.grpc",4,15,62,119,116,1485,"Channel,ManagedChannelBuilder,ClientInterceptor,Status$Code,StatusRuntimeException,Status,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,ClientCall$Listener",""
"reactor.core.publisher",4,27,49,198,116,1485,"Flux,SignalType,BaseSubscriber,Mono,FluxSink,FluxSink$OverflowStrategy,Signal,Sinks$Many,Sinks$EmitResult",""
"com.github.kagkarlsson.scheduler",3,5,8,49,116,1485,"Scheduler,ScheduledExecution,SchedulerState",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,116,1485,"Task,ExecutionContext,TaskInstance,TaskWithDataDescriptor,TaskInstanceId",""
"io.grpc.stub",3,6,7,27,116,1485,"StreamObserver,ClientResponseObserver,ClientCallStreamObserver",""
"org.jobrunr.scheduling",3,5,7,34,116,1485,"JobScheduler,JobBuilder",""
"org.springframework.boot.actuate.health",3,4,7,24,116,1485,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"org.springframework.boot.autoconfigure",3,28,61,63,116,1485,"AutoConfiguration,AutoConfigureAfter,AutoConfigureBefore,AutoConfigurationPackages",""
"org.springframework.boot.autoconfigure.condition",3,41,75,168,116,1485,"AnyNestedCondition,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty,ConditionalOnMissingClass,ConditionalOnBean,AllNestedConditions,ConditionalOnExpression,ConditionOutcome",""
"org.springframework.context.annotation",3,36,48,152,116,1485,"ConfigurationCondition$ConfigurationPhase,Bean,Conditional,Configuration,Primary,Role,Lazy,Import,ConditionContext",""
"com.fasterxml.jackson.databind",2,9,17,75,116,1485,"ObjectMapper,DeserializationContext,JsonDeserializer,DeserializationFeature,ObjectMapper$DefaultTyping,JsonNode,ObjectReader,ObjectWriter",""
"com.thoughtworks.xstream.io",2,4,9,39,116,1485,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
